113.663906,22.87096,嘉泽大药店,广东省东莞市嘉福路1号,,医疗;药店
113.650828,22.85731,千金方药店,环保路107号附近,,医疗;药店
113.647844,22.859398,陈木胜卫生所,天宅东路与环保路交叉口南100米,,医疗;诊所
113.647671,22.860379,国康堂药店(环保路店),广东省东莞市沙田镇环保路润利百货附近,,医疗;药店
113.671729,22.859921,虎门白沙医院,广东省东莞市白沙大皇路2,(0769)89327666,医疗;其他
113.665552,22.876147,东莞市厚街镇白濠社区卫生服务站,广东省东莞市白濠联兴街东3号,(0769)85989500,医疗;诊所
113.667414,22.857968,虎门嘉泰药店,虎门镇白沙社区白沙大道87号,,医疗;药店
113.678857,22.862438,东莞国药(白沙药店),广东省东莞市虎门镇白沙五村广场路3号(美尔时装店西南20米),(0769)85507427,医疗;药店
113.666671,22.871525,华文药店,广东省东莞市中心街18号附近,(0769)85582932,医疗;药店
113.672199,22.863336,东莞市虎门镇白沙社区卫生服务站,广东省东莞市新园路与白沙中心北路交叉口南100米,,医疗;诊所
113.676616,22.875532,厚街德和堂药店,东莞市厚街镇白濠村振兴路42号,(0769)85999279,医疗;药店
113.669815,22.874294,东莞市厚街万汇药店,白濠沿河一街7,,医疗;药店
113.669201,22.872202,东莞国药(绿洲药店),虎门镇白濠村沿河一街绿洲路22号铺位,(0769)81564930,医疗;药店
113.665415,22.873234,东莞国药(厚街濠健中心药店),广东省东莞市白濠广场北50米(中心街),(0769)85814863,医疗;药店
113.669578,22.86724,天安堂药业(虎门万佳分店),广东省东莞市白沙大路北(近富强百货),13712555866,医疗;药店
113.66776,22.863314,柏顺药房,白沙大路中17号,,医疗;药店
113.679161,22.863463,时珍医药(泰和分店),广东省东莞市行政一路2,,医疗;药店
113.67279,22.866834,祥和药店,广东省东莞市中国移动白沙一村指定专营店,,医疗;药店
113.676483,22.875972,本草平价大药房(白濠分店),厚街镇白濠工业区振兴路36号,,医疗;药店
113.675959,22.87701,东莞国药(厚街振兴药店),广东省东莞市白濠工业区振兴路商铺0202号,(0769)85880800,医疗;药店
113.675492,22.867192,宜城公寓,广东省东莞市莞太路131号(好运来宾馆后面、虎门高铁站对面),,医疗;疗养院
113.670521,22.868758,信德堂药业(虎门白沙分店),广东省东莞市中国移动(四村指定专营店),,医疗;药店
113.674148,22.863979,凯泰琳大药房,百会路11,,医疗;药店
113.679267,22.862897,時珍医药连锁店,广东省东莞市白沙广场路1附近,,医疗;药店
113.676115,22.877301,仁川药业,广东省东莞市振兴路商铺96号附近,,医疗;药店
113.665906,22.875187,汇森堂连锁药房(白濠分店),广东省东莞市厚街镇白濠祥兴街向阳综合楼附近,,医疗;药店
